,0,1,2,3,4,5,6,7,8,9,10
0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,54.33B,55.85,179.28,0.71%,970499
2,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8.28B,20.82,47.21,0.64%,5194275
3,3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,18.19,1.00%,200527
4,4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.21B,100.21,9.72,0.21%,132600
5,5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,86.84M,-,2.77,0.00%,10436
6,6,AACIU,Armada Acquisition Corp. I Unit,Financial,Shell Companies,USA,-,-,9.93,0.91%,80
7,7,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,562.28M,-,27.59,-2.65%,73214
8,8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,68.62,0.20%,1507
9,9,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,125.47M,-,3.85,1.85%,115375
10,10,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,12.34B,-,19.37,-1.97%,20219346
11,11,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,55.28M,0.77,27.78,3.58%,164417
12,12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,79.08M,5.24,3.99,-3.16%,54364
13,13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,857.32M,8.80,26.85,1.13%,184340
14,14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,203.50M,-,7.72,-0.64%,330678
15,15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.45B,47.07,67.21,-1.39%,97393
16,16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,12.87B,21.38,199.44,-0.68%,698369
17,17,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2532.41B,30.22,154.30,0.42%,57687428
18,18,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,387.20M,-,9.68,0.26%,5046
19,19,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.33B,131.75,39.79,-0.13%,139363
20,20,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,43.15M,14.88,8.11,2.01%,21161
0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,21,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,54.56M,-,0.42,2.01%,813755
2,22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.12B,4.62,73.57,-0.45%,239534
3,23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,90.01,0.44%,1011463
4,24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,5.01B,15.44,51.46,-0.66%,238481
5,25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,77.21B,85.03,37.67,0.43%,901554
6,26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,198.60B,30.05,111.62,-0.36%,5355985
7,27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,25.33B,-,125.14,0.13%,548965
8,28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.24B,7.90,48.03,-0.44%,246104
9,29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,5.16B,25.32,18.74,6.78%,2997665
10,30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.84B,-,21.35,-0.88%,44185
11,31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,134.58M,-,1.35,0.00%,224613
12,32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.92,0.02%,442
13,33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,49.41B,17.94,3.14,-0.32%,27226484
14,34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.37B,8.07,179.44,-0.88%,147354
15,35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187.70M,-,9.69,0.41%,3
16,36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,45.14M,-,3.10,-0.64%,109378
17,37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.24B,15.41,48.86,-0.02%,389334
18,38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,16.91B,110.46,372.69,0.77%,137492
19,39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,98.39B,-,158.00,0.51%,4441902
20,40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,589.46M,-,15.59,2.10%,152680
0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.55B,7.95,18.29,-0.49%,716001
2,42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,1.98B,-,20.08,3.45%,114418
3,43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,763.12M,135.87,12.50,0.56%,47021
4,44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,230.20B,36.09,128.94,0.35%,2459404
5,45,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,714.09M,10.14,36.23,-1.01%,63674
6,46,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,330.05M,-,3.41,-0.87%,658488
7,47,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,76.83M,-,3.25,-7.93%,474655
8,48,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,774.14M,7.69,36.43,-1.89%,4084
9,49,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.40B,31.51,50.64,-1.06%,193608
10,50,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.63B,-,16.78,-2.27%,1149657
11,51,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.90,-0.10%,401
12,52,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.81B,-,7.39,-0.67%,5828232
13,53,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,-,-,10.27,0.00%,0
14,54,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,479.07M,11.50,24.22,-0.08%,58842
15,55,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,7.12B,799.85,51.99,0.12%,653203
16,56,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.97B,-,47.41,-2.19%,189657
17,57,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,885.75M,12.24,9.71,0.00%,249046
18,58,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.07B,43.86,11.71,-1.43%,125805
19,59,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,38.69M,-,2.67,-1.11%,40006
20,60,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,70.89,-1.10%,44513
0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,61,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,241.82M,-,7.96,-4.67%,40803
2,62,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,284.63M,-,9.89,0.10%,56009
3,63,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.17,0.00%,1200
4,64,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,15.48B,7.92,39.43,-0.45%,1970494
5,65,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,-,5.30,26.36,-0.30%,12131
6,66,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,18.54B,22.73,18.30,1.16%,146803
7,67,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5.96B,37.41,68.16,-0.15%,285498
8,68,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,257.50M,-,6.46,-2.86%,69118
9,69,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,77.36M,-,8.40,-0.24%,48420
10,70,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,15.36B,27.31,33.35,0.82%,1690380
11,71,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA,625.60M,-,10.00,0.20%,1985931
12,72,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,420.11M,-,9.70,0.41%,35376
13,73,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,31.20,-0.10%,102639
14,74,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,521.82M,-,7.12,-0.14%,1230442
15,75,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.84B,45.27,33.27,1.12%,1168787
16,76,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,-,-,10.02,0.16%,9
17,77,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,265.95M,-,10.22,-0.06%,350
18,78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.57B,28.28,50.06,0.44%,224062
19,79,ACM,AECOM,Industrials,Engineering & Construction,USA,9.46B,50.58,66.81,0.23%,773434
20,80,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.90B,69.65,94.58,1.71%,229596
0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,227.15B,38.37,343.33,0.68%,1562049
2,82,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,246.19M,8.24,28.20,-1.36%,13492
3,83,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,47.39M,-,4.38,0.69%,45985
4,84,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,197.73M,-,11.34,-0.44%,82002
5,85,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,377.04M,-,9.71,0.31%,806555
6,86,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,-,-,9.95,-0.40%,21531
7,87,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,153.18M,3.62,16.40,-2.21%,19086
8,88,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,731.62M,9.04,15.86,0.06%,265515
9,89,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,966.88M,-,17.34,-1.48%,374138
10,90,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,127.42M,-,1.05,-3.67%,666068
11,91,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,654.07M,-,2.38,-6.30%,1623752
12,92,ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA,-,-,9.90,0.00%,15524
13,93,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,322.91M,4.25,6.59,3.13%,354062
14,94,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,139.94M,12.11,40.68,-0.78%,3258
15,95,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,381.08M,-,36.81,-0.25%,15564
16,96,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA,3.11B,-,20.03,-0.50%,1172638
17,97,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,39.39,0.38%,6457
18,98,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,105.29,0.23%,1291468
19,99,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,108.01,0.31%,128391
20,100,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,58.36,0.43%,470089
0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,101,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,60.34M,-,5.78,8.04%,142787
2,102,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,43.61M,-,28.69,-8.16%,113035
3,103,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,725.97M,-,16.77,-0.30%,5223
4,104,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,753.10M,-,4.94,0.00%,1337034
5,105,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,314.61B,57.62,666.59,0.29%,1635224
6,106,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,5.10B,45.86,74.61,-0.36%,285546
7,107,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.07B,-,27.95,-6.83%,401246
8,108,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,332.71M,-,9.70,0.21%,58965
9,109,ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.07,0.20%,6
10,110,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,128.57M,3.50,6.81,1.64%,78838
11,111,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,333.62M,-,9.67,0.00%,314
12,112,ADGI,"Adagio Therapeutics, Inc.",Healthcare,Biotechnology,USA,4.12B,-,42.39,18.28%,590176
13,113,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,60.13B,35.55,162.44,-0.11%,2378280
14,114,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,77.56M,-,4.35,0.93%,158043
15,115,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,33.21B,14.69,60.20,-0.05%,1156442
