Ticker,Description,Sector,Industry,Market Capitalization
BOMN,Boston Omaha Corporation,Commercial Services,Advertising/Marketing Services,1264378936.9999998
CPOP,"Pop Culture Group Co., Ltd",Commercial Services,Advertising/Marketing Services,69264007.00000001
QNST,"QuinStreet, Inc.",Commercial Services,Advertising/Marketing Services,973708463.0000002
TRKA,"Troika Media Group, Inc.",Commercial Services,Advertising/Marketing Services,54900259
STCB,"Starco Brands, Inc.",Commercial Services,Advertising/Marketing Services,78376781
FCUV,Focus Universal Inc.,Commercial Services,Advertising/Marketing Services,489267709.00000006
EAST,"Eastside Distilling, Inc.",Commercial Services,Advertising/Marketing Services,40485435
ADV,Advantage Solutions Inc.,Commercial Services,Advertising/Marketing Services,2701503536
ADMQ,ADM Endeavors Inc.,Commercial Services,Advertising/Marketing Services,11773135
CCO,"Clear Channel Outdoor Holdings, Inc.",Commercial Services,Advertising/Marketing Services,1299607078
ISIG,"Insignia Systems, Inc.",Commercial Services,Advertising/Marketing Services,14976790
IPG,"Interpublic Group of Companies, Inc. (The)",Commercial Services,Advertising/Marketing Services,15303954136
MMND,"Mastermind, Inc.",Commercial Services,Advertising/Marketing Services,3246969
LBUY,"Leafbuyer Technologies, Inc.",Commercial Services,Advertising/Marketing Services,6913225
ZZLL,"ZZLL Information Technology, Inc.",Commercial Services,Advertising/Marketing Services,3041617
QUOT,Quotient Technology Inc.,Commercial Services,Advertising/Marketing Services,581618412
ANTE,AirNet Technology Inc.,Commercial Services,Advertising/Marketing Services,45022334
MGNI,"Magnite, Inc.",Commercial Services,Advertising/Marketing Services,4096335715
HRTH,"Harte Hanks, Inc.",Commercial Services,Advertising/Marketing Services,49532787
CNET,ZW Data Action Technologies Inc.,Commercial Services,Advertising/Marketing Services,46285803
IBEX,IBEX Limited,Commercial Services,Advertising/Marketing Services,319034728
NXTP,"NextPlay Technologies, Inc.",Commercial Services,Advertising/Marketing Services,122525772
JKSM,Jacksam Corporation,Commercial Services,Advertising/Marketing Services,8713084
TTD,"The Trade Desk, Inc.",Commercial Services,Advertising/Marketing Services,36599593608
NCMI,"National CineMedia, Inc.",Commercial Services,Advertising/Marketing Services,278023315
MOBQ,"Mobiquity Technologies, Inc.",Commercial Services,Advertising/Marketing Services,25243976
